Place overall,Place gender,Place category,Name,,Club,Runner no,Category,HALF,Finish time,,year
118,117,98,"» Cracknell, Andrew (GBR)",,,1045,18-39,01:18:52,02:36:56,,2014
1871,117,87,"» Samuelson, Katie (GBR)",,,200,18-39,01:32:42,03:05:50,,2014
1876,118,9,"» Goble, Sally Ann (GBR)",,,543,45-49,01:30:18,03:05:52,,2014
119,118,99,"» Law, Will (GBR)",,,1191,18-39,01:18:55,02:36:58,,2014
120,119,100,"» HAUGHIAN, TIM (GBR)",,,1176,18-39,01:17:08,02:36:58,,2014
1882,119,10,"» Sykes, Margaret (GBR)",,,270,45-49,01:31:39,03:05:55,,2014
1886,120,21,"» Manir-Jolley, Lynn Mary (GBR)",,,55523,40-44,01:32:18,03:05:58,,2014
121,120,101,"» Rogers, Alex (AUS)",,,663,18-39,01:16:06,02:37:00,,2014
122,121,102,"» Shute, Rupert (GBR)",,,1158,18-39,01:16:03,02:37:01,,2014
1894,121,11,"» Wallington, Helen Claire (GBR)",,,175,45-49,01:31:30,03:06:04,,2014
1921,122,88,"» MADELLA, GIULIA (ITA)",,,58429,18-39,01:32:11,03:06:20,,2014
123,122,103,"» Palmer, Charlie (GBR)",,,969,18-39,01:17:33,02:37:01,,2014
1922,123,89,"» Berditchevskaia, Alexandra (GBR)",,,29152,18-39,01:31:27,03:06:20,,2014
124,123,4,"» Southern, Greg (GBR)",,,1060,45-49,01:16:56,02:37:04,,2014
125,124,104,"» Fewell, David (GBR)",,,25030,18-39,01:16:39,02:37:06,,2014
1925,124,90,"» JEREMIAH, CATHERINE (AUS)",,,490,18-39,01:30:02,03:06:22,,2014
1927,125,22,"» Daniels, Wendy Ann (GBR)",,,3007,40-44,01:30:48,03:06:24,,2014
126,125,105,"» Thomas, Colin (GBR)",,,1137,18-39,01:17:46,02:37:11,,2014
127,126,106,"» Griffiths, Thomas (GBR)",,,902,18-39,01:18:38,02:37:13,,2014
1930,126,23,"» Mcdonald, Candice (GBR)",,,160,40-44,01:30:15,03:06:26,,2014
1936,127,3,"» Masterman, Julie (GBR)",,,225,50-54,01:32:22,03:06:30,,2014
128,127,107,"» Whitmore, Tom (GBR)",,,786,18-39,01:15:15,02:37:21,,2014
1943,128,91,"» Ludlow Taylor, Sam (GBR)",,,406,18-39,01:29:56,03:06:33,,2014
129,128,15,"» Ogden, Kevin (GBR)",,,32935,40-44,01:17:45,02:37:27,,2014
1946,129,12,"» Price, Fiona (GBR)",,,265,45-49,01:30:15,03:06:35,,2014
130,129,16,"» Whitelegg, Richard (GBR)",,,1090,40-44,01:16:26,02:37:27,,2014
1970,130,13,"» Roberts, Shan (GBR)",,,388,45-49,01:30:28,03:06:50,,2014
131,130,108,"» Sharp, Stuart (GBR)",,,709,18-39,01:18:12,02:37:31,,2014
1972,131,92,"» Dennison, Kelly Louise (GBR)",,,27732,18-39,01:30:28,03:06:52,,2014
132,131,109,"» Price, Stephen (GBR)",,,924,18-39,01:17:00,02:37:32,,2014
1985,132,93,"» Cave, Rachel (GBR)",,,260,18-39,01:29:05,03:06:58,,2014
133,132,110,"» James, Peter (GBR)",,,32044,18-39,01:18:02,02:37:33,,2014
134,133,111,"» Campbell, Scott (GBR)",,,735,18-39,01:18:11,02:37:36,,2014
1996,133,24,"» Poole, Julie (GBR)",,,401,40-44,01:29:57,03:07:08,,2014
135,134,112,"» Savage, James (GBR)",,,1012,18-39,01:14:57,02:37:37,,2014
2002,134,25,"» Winter, Sarah (GBR)",,,533,40-44,01:31:40,03:07:11,,2014
2008,135,14,"» Goorney, Joanna (GBR)",,,387,45-49,01:27:03,03:07:16,,2014
136,135,113,"» Jones, Daniel (GBR)",,,825,18-39,01:18:05,02:37:40,,2014
2011,136,26,"» Leech, Sharon (GBR)",,,303,40-44,01:30:16,03:07:19,,2014
137,136,5,"» SENAC, PIERRE (FRA)",,,58272,45-49,01:14:09,02:37:40,,2014
138,137,114,"» Connolly, Kevin (GBR)",,,701,18-39,01:18:35,02:37:47,,2014
2016,137,94,"» Lee, Eloise (GBR)",,,390,18-39,01:32:21,03:07:21,,2014
139,138,115,"» Clark, Jim (GBR)",,,847,18-39,01:18:43,02:37:48,,2014
2056,138,27,"» Rees, Katherine (GBR)",,,29902,40-44,01:30:07,03:07:44,,2014
140,139,17,"» Cawley, Joe (IRL)",,,31523,40-44,01:18:28,02:37:51,,2014
2069,139,95,"» Gill, Susannah (GBR)",,,30042,18-39,01:31:03,03:07:51,,2014
